ProductSKU,RecordUID,DeptName,ItemName,ItemDetailedSpecs,SellingPrice,CostPrice,CurrentStock(QTY),CaseQuantity(CTN),UPC(BARCODE),AlternateLookupBarcode(ALPHANUMERIC),ProductVariant,DimensionScale,AltKeyAlpha,AltKeyBeta,AltKeyGamma,AltKeyDelta,AltKeyEpsilon,AltKeyZeta
1001,,PROVISIONS,KELLOGG'S MOONS & STARS CHOCO CEREALS 900G,KELLOGG'S MOONS & STARS CHOCO CEREALS 900G,0,0,18,1,6.154E+12,6.154E+12,,,,,,,,
1002,,PROVISIONS,KELLOG'S COCO POPS REFILL 900G,KELLOG'S COCO POPS REFILL 900G,0,0,10,1,6.154E+12,6.154E+12,,,,,,,,
1003,,PROVISIONS,KELLOG'S CORNFLAKES POUNCH 400G,KELLOG'S CORNFLAKES POUNCH 400G,0,0,24,1,6.154E+12,6.154E+12,,,,,,,,
1004,,PROVISIONS,KELLOGGS MOONS & STARS POUCH 400G,KELLOGGS MOONS & STARS POUCH 400G,0,0,4,1,6.154E+12,6.154E+12,,,,,,,,
1005,,PROVISIONS,KELLOG'S GO GRAIN 3NUTRITIOUS SOYA PROTEIN 900G,KELLOG'S GO GRAIN 3NUTRITIOUS SOYA PROTEIN 900G,0,0,6,1,6.154E+12,6.154E+12,,,,,,,,
1009,,PROVISIONS,PURE BLISS MILKRICH COOKIES 65G,PURE BLISS MILKRICH COOKIES 65G,0,0,21,1,6.154E+12,6.154E+12,,,,,,,,
101,,VILLAGE MARKET,CARROT,CARROT,0,0,15,1,215879,215879,,,,,,,,
1013,,PROVISIONS,KELLOGG'S COCO POPS 45G,KELLOGG'S COCO POPS 45G,0,0,96,1,6.154E+12,6.154E+12,,,,,,,,
1014,,PROVISIONS,KELLOGGS COCO POPS SATCHET 25G,KELLOGGS COCO POPS SATCHET 25G,0,0,1234,1,6.154E+12,6.154E+12,,,,,,,,
1015,,PROVISIONS,KELLOGGS FROSTIES SACHET 25G,KELLOGGS FROSTIES SACHET 25G,0,0,1177,1,6.154E+12,6.154E+12,,,,,,,,
102,,VILLAGE MARKET,CAP RICE 50KG (SHORT GRAIN),CAP RICE 50KG (SHORT GRAIN),0,0,15,1,2225896,2225896,,,,,,,,
1021,,PROVISIONS,HONEYWELL SEMOLINA 5KG,HONEYWELL SEMOLINA 5KG,0,0,2,1,6.156E+12,6.156E+12,,,,,,,,
1022,,PROVISIONS,INFINITY COCO CRUNCHIES 350G,INFINITY COCO CRUNCHIES 350G,0,0,8,1,6.156E+12,6.156E+12,,,,,,,,
1023,,PROVISIONS,INFINITY COCO BALLS 350G,INFINITY COCO BALLS 350G,0,0,19,1,6.156E+12,6.156E+12,,,,,,,,
1024,,PROVISIONS,GOLDEN PENNY WHITE CUBE SUGAR 500G,GOLDEN PENNY WHITE CUBE SUGAR 500G,0,0,60,1,6.156E+12,6.156E+12,,,,,,,,
1025,,PROVISIONS,GOLDEN PENNY SUGAR 1KG,GOLDEN PENNY SUGAR 1KG,0,0,31,1,6.156E+12,6.156E+12,,,,,,,,
1026,,PROVISIONS,GOLDEN PENNY SUGAR 500G,GOLDEN PENNY SUGAR 500G,0,0,56,1,6.156E+12,6.156E+12,,,,,,,,
1027,,PROVISIONS,INFINITY CORN FLAKES 350G,INFINITY CORN FLAKES 350G,0,0,25,1,6.156E+12,6.156E+12,,,,,,,,
1032,,PROVISIONS,INFINITY CORN FLAKES 500G,INFINITY CORN FLAKES 500G,0,0,8,1,6.156E+12,6.156E+12,,,,,,,,
1033,,PROVISIONS,INFINITY CORNFLAKES 1KG,INFINITY CORNFLAKES 1KG,0,0,3,1,6.156E+12,6.156E+12,,,,,,,,
1034,,PROVISIONS,DANGOTE GRANULATED SUGAR 250G,DANGOTE GRANULATED SUGAR 250G,0,0,190,1,6.156E+12,6.156E+12,,,,,,,,
1035,,PROVISIONS,DANGOTE GRANULATED SUGAR 500G,DANGOTE GRANULATED SUGAR 500G,0,0,105,1,6.156E+12,6.156E+12,,,,,,,,
1036,,PROVISIONS,DANGOTE GRANULATED SUGAR 1KG,DANGOTE GRANULATED SUGAR 1KG,0,0,84,1,6.156E+12,6.156E+12,,,,,,,,
1040,,PROVISIONS,PEAK CREAMER POWDER SATCHET 12G,PEAK CREAMER POWDER SATCHET 12G,0,0,1844,1,6.156E+12,6.156E+12,,,,,,,,
1041,,PROVISIONS,THREE CROWNS INSTANT FILLED MILK POWDER POUNCH 320,THREE CROWNS INSTANT FILLED MILK POWDER POUNCH 320,0,0,75,1,6.156E+12,6.156E+12,,,,,,,,
1045,,PROVISIONS,THREE CROWN SACHET MILK 12G,THREE CROWN SACHET MILK 12G,0,0,1468,1,6.156E+12,6.156E+12,,,,,,,,
